timestamp,command,duration_s,exit_code,cpu_pct_avg,mem_kb_max,tag,status,pipeline_id,mode
2025-06-24 15:29:43,docker-login,0.5,0.0,7.0,0,build,pass,1886996200,
2025-06-24 15:34:52,docker-build,305.09,0.0,28.37,47760,build,pass,1886996200,
2025-06-24 15:38:37,docker-push,214.41,0.0,61.31,38456,build,pass,1886996200,
2025-06-24 15:41:14,flake8 .,1.0,0.0,54.1,22636,lint,pass,1886996200,
2025-06-24 15:57:43,docker-login,0.5,0.0,7.1,0,build,pass,1887046168,
2025-06-24 16:02:25,docker-build,278.53,0.0,29.42,45500,build,pass,1887046168,
2025-06-24 16:06:00,docker-push,207.88,0.0,60.01,38872,build,pass,1887046168,
2025-06-24 16:08:36,flake8 .,1.0,0.0,52.2,22648,lint,pass,1887046168,
2025-06-24 16:20:05,docker-login,0.5,0.0,12.1,0,build,pass,1887089637,baseline
2025-06-24 16:25:43,docker-build,332.73,0.0,33.34,47188,build,pass,1887089637,baseline
2025-06-24 16:29:44,docker-push,229.98,0.0,62.24,38824,build,pass,1887089637,baseline
2025-06-24 16:32:34,flake8 .,1.0,0.0,61.75,22556,lint,pass,1887089637,baseline
2025-06-26 06:48:46,docker-login,0.5,0.0,7.1,0,build,pass,1890434299,baseline
2025-06-26 06:50:53,docker-login,0.5,0.0,6.1,0,build,pass,1890437184,baseline
2025-06-26 06:54:28,docker-build,338.2,0.0,31.52,46316,build,pass,1890434299,baseline
2025-06-26 06:55:36,docker-build,280.02,0.0,28.57,46376,build,pass,1890437184,baseline
2025-06-26 06:58:38,docker-push,239.48,0.0,62.09,39148,build,pass,1890434299,baseline
2025-06-26 06:59:04,docker-push,199.36,0.0,62.09,38644,build,pass,1890437184,baseline
2025-06-26 07:01:12,flake8 .,1.0,0.0,55.0,22500,lint,pass,1890434299,baseline
2025-06-26 07:01:39,flake8 .,1.0,0.0,54.0,22524,lint,pass,1890437184,baseline
2025-06-26 07:03:38,python manage.py collectstatic --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional;python manage.py collectstatic --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional,9.02,0.0,43.13333333333333,59576,unit,pass,1890434299,baseline
2025-06-26 07:04:04,python manage.py collectstatic --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional;python manage.py collectstatic --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional,9.02,0.0,42.43666666666667,59092,unit,pass,1890437184,baseline
2025-06-26 07:04:10,coverage run --append --source=. manage.py test --tag=functional;coverage run --append --source=. manage.py test --tag=functional,19.04,0.0,23.89,59972,functional,pass,1890434299,baseline
2025-06-26 07:04:35,coverage run --append --source=. manage.py test --tag=functional;coverage run --append --source=. manage.py test --tag=functional,19.04,0.0,24.01,59496,functional,pass,1890437184,baseline
2025-06-26 09:15:39,docker-login,0.5,0.0,6.1,0,build,pass,1890700505,baseline
2025-06-26 09:20:34,docker-build,292.05,0.0,28.44,45932,build,pass,1890700505,baseline
2025-06-26 09:24:08,docker-push,205.37,0.0,61.25,38656,build,pass,1890700505,baseline
2025-06-26 09:26:37,flake8 .,1.0,0.0,51.5,22580,lint,pass,1890700505,baseline
2025-06-26 09:29:07,python manage.py collectstatic --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional;python manage.py collectstatic --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional,9.02,0.0,42.37,59252,unit,pass,1890700505,baseline
2025-06-26 09:29:40,coverage run --append --source=. manage.py test --tag=functional;coverage run --append --source=. manage.py test --tag=functional,21.04,0.0,22.15,60080,functional,pass,1890700505,baseline
2025-06-26 10:11:53,docker-login,0.5,0.0,9.0,0,build,pass,1890828514,baseline
2025-06-26 10:17:31,docker-build,332.69,0.0,31.55,46092,build,pass,1890828514,baseline
2025-06-26 10:21:36,docker-push,236.49,0.0,59.55,39040,build,pass,1890828514,baseline
2025-06-26 10:24:09,flake8 .,1.0,0.0,52.9,22708,lint,pass,1890828514,baseline
2025-06-26 10:24:10,flake8 .,1.0,0.0,53.4,22560,lint,pass,1890828514,baseline
2025-06-26 10:26:35,python manage.py collectstatic --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional;coverage run --source=. manage.py test --parallel --exclude-tag=functional;python manage.py collectstatic --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional;coverage run --source=. manage.py test --parallel --exclude-tag=functional,16.04,1.0,45.885,59280,unit,fail,1890828514,baseline
2025-06-26 11:06:12,docker-login,0.5,0.0,4.0,0,build,pass,1890930758,baseline
2025-06-26 11:10:57,docker-build,1.5,0.0,45.37,42852,build,pass,1890930758,baseline
2025-06-26 11:14:36,docker-push,1.0,0.0,8.1,35992,build,pass,1890930758,baseline
2025-06-26 11:17:38,flake8 .,1.0,0.0,53.9,22572,lint,pass,1890930758,baseline
2025-06-26 11:17:40,flake8 .,1.0,0.0,55.1,22624,lint,fail,1890930758,baseline
2025-06-26 11:17:42,flake8 .,1.0,0.0,54.0,22724,lint,pass,1890930758,baseline
2025-06-26 11:20:07,python manage.py collectstatic --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional;coverage run --source=. manage.py test --parallel --exclude-tag=functional;python manage.py collectstatic --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional;coverage run --source=. manage.py test --parallel --exclude-tag=functional,16.04,1.0,43.4825,59280,unit,fail,1890930758,baseline
2025-06-26 12:23:01,docker-login,0.5,0.0,5.0,0,build,pass,1891077891,ml
2025-06-26 12:36:33,docker-login,0.5,0.0,4.0,0,build,pass,1891106068,ml
2025-06-26 13:55:48,docker-login,0.5,0.0,4.0,0,build,pass,1891286641,ml
2025-06-26 14:18:47,docker-login,1.0,0.0,2.05,36972,build,pass,1891346115,ml
2025-06-26 14:18:48,docker-login,0.5,0.0,5.1,0,build,pass,1891346115,ml
2025-06-26 14:23:54,docker-build,0.5,0.0,11.3,0,build,pass,1891346115,ml
2025-06-26 14:27:42,docker-build,0.5,0.0,10.1,0,build,pass,1891346115,ml
2025-06-26 14:31:46,docker-push,1.0,0.0,8.0,37188,build,pass,1891346115,ml
2025-06-26 14:31:50,docker-push,1.0,0.0,10.3,37132,build,pass,1891346115,ml
2025-06-26 14:34:36,flake8 .,1.0,0.0,51.6,22608,lint,pass,1891346115,ml
2025-06-26 14:34:37,flake8 .,1.0,0.0,51.8,22584,lint,fail,1891346115,ml
2025-06-26 14:34:40,flake8 .,1.0,0.0,52.9,22584,lint,pass,1891346115,ml
2025-06-26 14:41:13,docker-login,0.5,0.0,4.0,0,build,pass,1891397062,ml
2025-06-26 14:41:14,docker-login,0.5,0.0,4.0,0,build,pass,1891397062,ml
2025-06-26 14:46:38,docker-build,0.5,0.0,14.0,0,build,pass,1891397062,ml
2025-06-26 14:50:38,docker-build,0.5,0.0,10.2,0,build,pass,1891397062,ml
2025-06-26 14:54:34,docker-push,1.0,0.0,6.55,35632,build,pass,1891397062,ml
2025-06-26 14:54:39,docker-push,1.0,0.0,6.55,37728,build,pass,1891397062,ml
2025-06-26 14:57:24,flake8 .,1.0,0.0,56.0,22660,lint,pass,1891397062,ml
2025-06-26 14:57:26,flake8 .,1.0,0.0,52.5,22300,lint,fail,1891397062,ml
2025-06-26 14:57:28,flake8 .,1.0,0.0,53.2,22676,lint,pass,1891397062,ml
2025-06-26 14:59:53,python manage.py collectstatic --noinput;python manage.py collectstatic --noinput;python manage.py migrate --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional;coverage run --source=. manage.py test --parallel --exclude-tag=functional;python manage.py collectstatic --noinput;python manage.py collectstatic --noinput;python manage.py migrate --noinput;python manage.py migrate --noinput;coverage run --source=. manage.py test --parallel --exclude-tag=functional;coverage run --source=. manage.py test --parallel --exclude-tag=functional,18.04,1.0,40.45,59260,unit,fail,1891397062,ml
2025-06-27 07:00:29,docker-login,0.5,0.0,8.0,0,build,pass,1893290354,ml
2025-06-27 07:05:24,docker-build,290.04,0.0,28.93,46456,build,pass,1893290354,ml
2025-06-27 07:09:04,docker-push,205.38,0.0,61.14,39264,build,pass,1893290354,ml
